"","Org","obj","RAA","WAA"
"1","TEX",4505.91213452379,315.651943235369,-3.50724381372632
"2","MIA",4193.97952501369,3.71933372526928,-0.0413259302807698
"3","SD",3962.65094133814,-227.609249950278,2.5289916661142
"4","ATH",4939.67696401543,749.416772727011,-8.32685303030013
"5","ARI",4014.43740446253,-175.822786825889,1.95358652028765
"6","STL",4350.27139784166,160.011206553237,-1.77790229503596
"7","NYY",3968.39829992655,-221.861891361871,2.46513212624301
"8","BAL",3865.74681510113,-324.513376187287,3.60570417985874
"9","BOS",4029.92727617722,-160.332915111196,1.78147683456884
"10","TB",3808.31067173615,-381.949519552273,4.24388355058081
"11","NY",4599.47701373001,409.216822441596,-4.5468535826844
"12","CIN",4092.35002879694,-97.9101624914774,1.08789069434975
"13","MIN",3663.01383149454,-527.246359793875,5.85829288659861
"14","PIT",4064.88965088084,-125.370540407578,1.39300600452864
"15","SEA",3530.13901174195,-660.121179546472,7.33467977273858
"16","CLE",4478.70836839425,288.448177105827,-3.2049797456203
"17","DET",4210.31056102371,20.050369735296,-0.222781885947734
"18","WSH",4739.66139396042,549.401202672007,-6.10445780746674
"19","HOU",4100.67755782586,-89.5826334625535,0.995362594028373
"20","COL",4812.67692274228,622.416731453865,-6.9157414605985
"21","MIL",3936.17564882485,-254.084542463572,2.82316158292858
"22","CWS",4850.42703552374,660.166844235321,-7.33518715817023
"23","ATL",3633.27394719401,-556.986244094409,6.18873604549343
"24","TOR",4366.06851265155,175.808321363135,-1.95342579292373
"25","PHI",3948.17031847468,-242.089872813739,2.68988747570821
"26","SF",4303.22044261369,112.960251325275,-1.25511390361416
"27","CHI",4380.59539819425,190.335206905834,-2.11483563228704
"28","LA",3747.50617260863,-442.754018679791,4.91948909644212
"29","LAA",4669.03248536987,478.77229408145,-5.31969215646056
"30","KC",3942.12000647019,-248.14018481823,2.757113164647
